frequency,raw
2248.68,-7.03
2261.73,-6.43
2274.82,-5.02
2287.95,-4.54
2301.12,-3.98
2314.32,-3.81
2327.57,-3.68
2340.85,-3.59
2354.17,-3.72
2367.52,-4.11
2380.92,-4.38
2394.35,-4.69
2407.82,-5.19
2421.33,-6.32
2434.88,-7.23
2448.47,-7.96
2462.09,-8.74
2475.75,-9.46
2489.45,-10.14
2503.19,-11.01
2516.97,-11.32
2530.78,-11.32
2544.63,-11.88
2558.52,-12.20
2572.45,-12.69
2586.42,-13.22
2600.42,-13.64
2614.47,-14.21
2628.55,-14.40
2642.67,-14.60
2656.83,-14.68
2671.02,-15.14
2685.26,-15.49
2699.53,-15.29
2713.84,-15.24
2728.18,-15.49
2742.57,-15.42
2756.99,-15.63
2771.46,-15.79
2785.96,-15.91
2800.50,-15.76
2815.07,-15.94
2829.69,-15.75
2844.34,-16.15
2859.03,-16.25
2873.76,-16.16
2888.53,-15.99
2903.33,-16.08
2918.18,-15.56
2933.06,-15.41
2947.98,-15.34
2962.94,-14.79
2977.93,-14.58
2992.96,-14.61
3008.04,-14.39
3023.15,-14.38
3038.30,-14.46
3053.48,-14.41
3068.71,-14.39
3083.97,-14.75
3099.27,-14.86
3114.61,-15.26
3129.99,-15.31
3145.40,-15.15
3160.85,-14.93
3176.34,-14.49
3191.87,-14.01
3207.44,-13.66
3223.05,-13.33
3238.69,-13.05
3254.37,-12.10
3270.09,-11.54
3285.85,-11.20
3301.65,-10.80
3317.48,-10.25
3333.35,-9.77
3349.26,-9.36
3365.21,-9.00
3381.20,-8.54
3397.22,-8.43
3413.29,-8.58
3429.39,-8.62
3445.53,-8.67
3461.70,-9.16
3477.92,-9.67
3494.17,-10.43
3510.46,-11.37
3526.79,-12.20
3543.16,-13.28
3559.57,-14.12
3576.01,-15.27
3592.49,-15.72
3609.01,-16.93
3625.57,-17.88
3642.17,-18.46
3658.80,-19.21
3675.47,-19.85
3692.19,-20.55
3708.93,-21.43
3725.72,-22.24
3742.55,-23.28
3759.41,-23.63
3776.31,-24.01
3793.25,-24.32
3810.23,-24.75
3827.24,-24.92
3844.30,-25.13
3861.39,-25.51
3878.52,-25.50
3895.69,-25.82
3912.89,-26.04
3930.14,-26.28
3947.42,-26.67
3964.74,-26.68
3982.10,-26.41
3999.50,-25.92
4016.93,-24.96
4034.40,-24.16
4051.91,-23.23
4069.46,-23.08
4087.05,-22.38
4104.68,-22.00
4122.34,-21.46
4140.04,-21.03
4157.78,-20.51
4175.56,-20.04
4193.37,-20.26
4211.23,-20.16
4229.12,-18.96
4247.05,-18.50
4265.02,-18.23
4283.02,-18.19
4301.07,-18.10
4319.15,-18.44
4337.27,-18.50
4355.43,-18.34
4373.63,-18.76
4391.86,-19.37
4410.14,-19.83
4428.45,-20.08
4446.80,-19.95
4465.18,-20.39
4483.61,-20.54
4502.07,-20.81
4520.58,-21.34
4539.12,-21.35
4557.69,-21.68
4576.31,-21.69
4594.96,-22.39
4613.66,-22.35
4632.39,-22.42
4651.16,-22.92
4669.96,-23.10
4688.81,-23.28
4707.69,-23.58
4726.61,-24.02
4745.57,-24.13
4764.57,-24.29
4783.60,-24.43
4802.68,-24.41
4821.79,-24.80
4840.94,-24.80
4860.13,-25.24
4879.35,-25.63
4898.62,-25.88
4917.92,-26.14
4937.26,-26.08
4956.64,-26.42
4976.05,-25.78
4995.51,-25.39
