frequency,raw
2248.68,-6.89
2261.73,-7.08
2274.82,-6.40
2287.95,-6.68
2301.12,-6.55
2314.32,-6.75
2327.57,-6.47
2340.85,-6.05
2354.17,-6.22
2367.52,-6.82
2380.92,-7.34
2394.35,-7.38
2407.82,-7.04
2421.33,-7.58
2434.88,-8.08
2448.47,-8.17
2462.09,-7.97
2475.75,-7.93
2489.45,-8.13
2503.19,-8.21
2516.97,-8.30
2530.78,-8.34
2544.63,-8.48
2558.52,-8.74
2572.45,-8.32
2586.42,-8.17
2600.42,-8.48
2614.47,-8.58
2628.55,-8.36
2642.67,-8.26
2656.83,-8.14
2671.02,-8.38
2685.26,-8.64
2699.53,-8.94
2713.84,-8.73
2728.18,-8.82
2742.57,-9.05
2756.99,-9.03
2771.46,-8.58
2785.96,-8.46
2800.50,-7.79
2815.07,-7.68
2829.69,-7.40
2844.34,-7.46
2859.03,-7.39
2873.76,-7.81
2888.53,-7.99
2903.33,-8.04
2918.18,-8.21
2933.06,-8.05
2947.98,-7.75
2962.94,-7.98
2977.93,-7.31
2992.96,-7.52
3008.04,-7.45
3023.15,-7.27
3038.30,-7.46
3053.48,-7.72
3068.71,-8.32
3083.97,-8.24
3099.27,-8.80
3114.61,-8.53
3129.99,-8.66
3145.40,-8.62
3160.85,-8.75
3176.34,-9.19
3191.87,-9.31
3207.44,-9.71
3223.05,-10.33
3238.69,-10.14
3254.37,-9.90
3270.09,-9.13
3285.85,-8.77
3301.65,-8.46
3317.48,-7.93
3333.35,-8.07
3349.26,-8.08
3365.21,-8.16
3381.20,-7.82
3397.22,-7.45
3413.29,-7.46
3429.39,-6.96
3445.53,-6.71
3461.70,-6.50
3477.92,-6.03
3494.17,-5.98
3510.46,-5.76
3526.79,-5.47
3543.16,-5.34
3559.57,-5.70
3576.01,-6.14
3592.49,-5.94
3609.01,-6.14
3625.57,-6.36
3642.17,-6.31
3658.80,-6.46
3675.47,-6.84
3692.19,-6.94
3708.93,-7.17
3725.72,-7.78
3742.55,-8.44
3759.41,-8.96
3776.31,-9.70
3793.25,-10.18
3810.23,-10.07
3827.24,-10.51
3844.30,-10.69
3861.39,-10.44
3878.52,-10.52
3895.69,-10.61
3912.89,-10.92
3930.14,-10.33
3947.42,-10.00
3964.74,-9.72
3982.10,-9.58
3999.50,-9.50
4016.93,-9.18
4034.40,-9.21
4051.91,-8.99
4069.46,-8.51
4087.05,-8.23
4104.68,-8.53
4122.34,-7.89
4140.04,-7.98
4157.78,-8.13
4175.56,-7.75
4193.37,-7.82
4211.23,-7.70
4229.12,-6.69
4247.05,-6.30
4265.02,-5.15
4283.02,-4.07
4301.07,-2.60
4319.15,-2.16
4337.27,-2.12
4355.43,-2.34
4373.63,-2.90
4391.86,-4.25
4410.14,-5.64
4428.45,-6.38
4446.80,-7.06
4465.18,-8.31
4483.61,-8.67
4502.07,-9.02
4520.58,-9.46
4539.12,-9.46
4557.69,-7.95
4576.31,-6.27
4594.96,-4.89
4613.66,-4.13
4632.39,-3.72
4651.16,-3.47
4669.96,-3.96
4688.81,-3.81
4707.69,-4.59
4726.61,-4.67
4745.57,-5.14
4764.57,-5.69
4783.60,-6.42
4802.68,-6.56
4821.79,-6.72
4840.94,-7.11
4860.13,-7.20
4879.35,-7.05
4898.62,-6.83
4917.92,-7.16
4937.26,-7.41
4956.64,-7.72
4976.05,-8.16
4995.51,-8.87
5015.00,-8.61
5034.53,-8.45
5054.10,-8.63
5073.71,-8.96
5093.35,-8.68
5113.03,-9.01
5132.76,-9.60
5152.52,-9.89
5172.31,-9.42
5192.15,-9.88
5212.02,-9.86
5231.93,-9.68
5251.88,-9.50
5271.87,-9.05
5291.90,-8.43
5311.96,-7.96
5332.07,-7.81
5352.21,-7.46
5372.38,-7.99
5392.60,-7.64
5412.86,-7.76
5433.15,-7.63
5453.48,-7.54
5473.85,-6.68
5494.26,-6.56
5514.70,-5.82
5535.19,-5.38
5555.71,-4.99
5576.27,-4.01
5596.86,-4.21
5617.50,-3.60
5638.17,-3.82
5658.89,-4.01
5679.64,-4.46
5700.43,-5.20
5721.25,-5.75
5742.12,-6.42
5763.02,-6.69
5783.96,-6.86
5804.94,-7.23
5825.96,-7.42
5847.01,-6.87
5868.10,-7.10
5889.24,-7.34
5910.40,-7.12
5931.61,-7.62
5952.86,-7.53
5974.14,-7.61
5995.46,-7.94
6016.82,-8.43
6038.22,-9.05
6059.66,-9.56
6081.13,-8.96
6102.64,-9.20
6124.20,-8.26
6145.78,-6.54
6167.41,-5.19
6189.08,-3.56
6210.78,-2.73
6232.52,-2.59
6254.30,-2.87
6276.12,-3.48
6297.97,-4.12
6319.87,-4.95
6341.80,-5.20
6363.77,-4.93
6385.77,-5.43
6407.82,-5.42
6429.90,-5.81
6452.03,-6.66
6474.19,-7.49
6496.39,-8.56
6518.62,-9.09
6540.90,-9.12
6563.21,-8.82
6585.56,-8.57
6607.95,-8.56
6630.38,-9.06
6652.84,-9.61
6675.34,-9.92
6697.89,-10.12
6720.47,-9.76
6743.08,-9.45
6765.74,-9.13
6788.43,-9.00
6811.16,-8.81
6833.93,-9.39
6856.74,-9.55
6879.59,-9.63
6902.47,-10.04
6925.40,-9.56
6948.36,-9.75
6971.35,-10.13
6994.39,-10.53
7017.47,-11.27
7040.58,-11.36
7063.73,-10.73
7086.92,-9.02
7110.15,-7.87
7133.41,-6.43
7156.72,-5.61
7180.06,-5.91
7203.44,-5.81
7226.86,-6.52
7250.31,-7.48
7273.81,-7.07
