frequency,raw
2248.68,-4.79
2261.73,-4.48
2274.82,-4.19
2287.95,-3.95
2301.12,-4.19
2314.32,-4.79
2327.57,-4.86
2340.85,-4.80
2354.17,-5.02
2367.52,-5.48
2380.92,-5.39
2394.35,-5.40
2407.82,-5.25
2421.33,-5.70
2434.88,-5.72
2448.47,-5.68
2462.09,-5.91
2475.75,-5.63
2489.45,-6.09
2503.19,-6.16
2516.97,-6.71
2530.78,-6.49
2544.63,-6.06
2558.52,-6.17
2572.45,-6.38
2586.42,-6.09
2600.42,-6.00
2614.47,-6.01
2628.55,-6.32
2642.67,-6.69
2656.83,-6.98
2671.02,-7.10
2685.26,-6.85
2699.53,-7.41
2713.84,-7.27
2728.18,-7.42
2742.57,-7.65
2756.99,-7.69
2771.46,-7.70
2785.96,-7.61
2800.50,-7.87
2815.07,-7.65
2829.69,-7.27
2844.34,-7.22
2859.03,-7.73
2873.76,-7.79
2888.53,-7.66
2903.33,-7.78
2918.18,-7.63
2933.06,-7.57
2947.98,-7.30
2962.94,-6.76
2977.93,-7.07
2992.96,-7.04
3008.04,-7.03
3023.15,-7.62
3038.30,-7.90
3053.48,-8.52
3068.71,-8.40
3083.97,-8.32
3099.27,-7.25
3114.61,-4.90
3129.99,-3.18
3145.40,-2.47
3160.85,-1.93
3176.34,-1.90
3191.87,-1.73
3207.44,-2.47
3223.05,-3.34
3238.69,-3.63
3254.37,-4.05
3270.09,-4.25
3285.85,-5.00
3301.65,-4.84
3317.48,-4.73
3333.35,-4.99
3349.26,-5.21
3365.21,-5.46
3381.20,-6.45
3397.22,-6.98
3413.29,-7.47
3429.39,-7.19
3445.53,-7.60
3461.70,-7.23
3477.92,-6.60
3494.17,-6.20
3510.46,-6.65
3526.79,-6.77
3543.16,-6.77
3559.57,-7.29
3576.01,-7.68
3592.49,-8.12
3609.01,-7.87
3625.57,-7.72
3642.17,-7.10
3658.80,-7.46
3675.47,-7.79
3692.19,-8.89
3708.93,-8.44
3725.72,-9.19
3742.55,-9.13
3759.41,-8.94
3776.31,-8.32
3793.25,-7.81
3810.23,-6.64
3827.24,-5.63
3844.30,-4.72
3861.39,-4.05
3878.52,-3.61
3895.69,-3.76
3912.89,-4.13
3930.14,-3.89
3947.42,-3.96
3964.74,-4.41
3982.10,-4.65
3999.50,-4.50
4016.93,-4.90
4034.40,-5.27
4051.91,-5.22
4069.46,-5.54
4087.05,-5.95
4104.68,-6.56
4122.34,-6.88
4140.04,-7.16
4157.78,-7.05
4175.56,-7.09
4193.37,-7.56
4211.23,-7.99
4229.12,-8.04
4247.05,-8.12
4265.02,-8.27
4283.02,-7.48
4301.07,-6.73
4319.15,-6.41
4337.27,-6.36
4355.43,-6.13
4373.63,-6.50
4391.86,-6.91
4410.14,-7.56
4428.45,-7.92
4446.80,-8.37
4465.18,-8.64
4483.61,-8.97
4502.07,-9.02
4520.58,-8.55
4539.12,-7.87
4557.69,-7.82
4576.31,-7.57
4594.96,-7.16
4613.66,-7.98
4632.39,-8.03
4651.16,-8.08
4669.96,-8.02
4688.81,-7.94
4707.69,-7.67
4726.61,-7.93
4745.57,-7.77
4764.57,-8.50
4783.60,-9.30
4802.68,-9.31
4821.79,-10.07
4840.94,-9.58
4860.13,-9.61
4879.35,-8.76
4898.62,-8.21
4917.92,-7.84
4937.26,-7.78
4956.64,-7.23
4976.05,-7.82
4995.51,-8.17
5015.00,-8.55
5034.53,-9.53
5054.10,-9.74
5073.71,-9.78
5093.35,-9.48
5113.03,-9.59
5132.76,-9.48
5152.52,-9.05
5172.31,-8.98
5192.15,-8.82
5212.02,-9.03
5231.93,-8.68
5251.88,-8.80
5271.87,-8.85
5291.90,-8.37
5311.96,-8.45
5332.07,-7.73
5352.21,-7.35
5372.38,-7.42
5392.60,-6.93
5412.86,-7.24
5433.15,-7.42
5453.48,-7.65
5473.85,-7.80
5494.26,-7.43
5514.70,-7.28
5535.19,-7.02
5555.71,-6.66
5576.27,-6.31
5596.86,-5.64
5617.50,-4.99
5638.17,-5.01
5658.89,-5.39
5679.64,-5.68
5700.43,-6.26
5721.25,-5.72
5742.12,-5.98
5763.02,-6.04
5783.96,-6.15
5804.94,-6.62
5825.96,-6.29
5847.01,-6.37
5868.10,-6.73
5889.24,-6.64
5910.40,-6.89
5931.61,-6.80
5952.86,-6.42
5974.14,-5.85
5995.46,-5.35
6016.82,-5.25
6038.22,-5.19
6059.66,-5.67
6081.13,-5.87
6102.64,-6.01
6124.20,-6.21
6145.78,-5.79
6167.41,-6.01
6189.08,-5.67
6210.78,-5.26
6232.52,-5.43
6254.30,-5.00
6276.12,-5.53
6297.97,-5.75
6319.87,-5.81
6341.80,-5.85
6363.77,-5.66
6385.77,-5.52
6407.82,-5.85
6429.90,-6.24
6452.03,-6.29
6474.19,-6.50
6496.39,-6.69
6518.62,-7.00
6540.90,-6.90
6563.21,-7.23
6585.56,-7.07
6607.95,-7.00
6630.38,-7.13
6652.84,-7.29
6675.34,-7.99
6697.89,-8.48
6720.47,-9.12
6743.08,-9.51
6765.74,-9.66
6788.43,-9.26
6811.16,-9.55
6833.93,-9.35
6856.74,-9.33
6879.59,-10.14
6902.47,-10.43
6925.40,-10.91
6948.36,-11.85
6971.35,-11.56
6994.39,-11.34
7017.47,-12.01
7040.58,-12.43
7063.73,-12.72
7086.92,-13.61
7110.15,-12.98
7133.41,-12.18
7156.72,-11.55
7180.06,-11.09
7203.44,-11.24
7226.86,-11.76
7250.31,-12.57
7273.81,-13.05
7297.34,-13.18
7320.91,-12.79
7344.52,-11.92
7368.16,-11.56
7391.85,-11.75
7415.57,-11.25
7439.33,-11.12
7463.13,-10.86
7486.97,-10.29
7510.84,-10.61
7534.76,-10.53
7558.71,-10.61
7582.70,-11.37
7606.72,-11.26
7630.79,-11.49
7654.89,-11.75
7679.04,-11.05
7703.22,-10.95
7727.43,-10.54
7751.69,-10.01
7775.98,-10.15
7800.32,-9.96
7824.69,-9.96
7849.10,-9.67
7873.54,-9.75
7898.03,-9.74
7922.55,-9.15
7947.11,-8.67
7971.71,-8.79
7996.35,-9.05
8021.02,-9.90
8045.74,-9.23
8070.49,-9.26
8095.28,-9.39
8120.11,-9.33
8144.97,-9.18
8169.88,-7.97
8194.82,-7.79
8219.80,-7.90
8244.82,-7.98
8269.87,-8.02
8294.97,-8.43
8320.10,-8.59
8345.27,-8.44
8370.48,-8.26
8395.73,-7.35
8421.01,-7.32
8446.34,-7.48
8471.70,-7.83
8497.10,-8.20
8522.54,-7.67
8548.01,-8.51
8573.53,-8.09
8599.08,-7.28
8624.67,-6.46
8650.30,-5.78
8675.96,-5.69
8701.67,-6.12
8727.41,-6.32
8753.19,-7.27
8779.01,-8.33
8804.87,-9.57
8830.76,-9.96
8856.69,-9.79
8882.66,-9.02
8908.67,-8.63
8934.72,-8.44
8960.81,-8.71
8986.93,-9.50
9013.09,-10.76
9039.29,-10.75
9065.53,-11.10
9091.81,-10.35
9118.12,-10.30
9144.47,-9.78
9170.86,-9.57
9197.29,-9.91
9223.76,-9.85
9250.26,-10.37
9276.81,-9.79
9303.39,-9.42
9330.01,-8.54
9356.66,-7.90
9383.36,-7.75
9410.09,-8.17
9436.86,-8.77
9463.67,-9.17
9490.52,-9.62
9517.41,-9.37
9544.33,-9.32
9571.29,-9.12
9598.29,-8.51
9625.33,-8.16
9652.41,-7.37
9679.52,-7.08
9706.67,-6.73
9733.86,-6.81
9761.09,-6.46
9788.36,-6.13
9815.66,-5.75
9843.01,-5.30
9870.39,-6.35
9897.81,-6.80
9925.27,-7.14
9952.76,-7.44
9980.29,-7.40
10007.87,-7.56
10035.48,-7.08
10063.12,-7.20
10090.81,-8.01
10118.53,-8.51
10146.30,-9.30
10174.10,-9.09
10201.94,-8.88
10229.81,-8.23
10257.73,-8.19
10285.68,-9.32
10313.67,-9.96
10341.70,-10.75
10369.77,-10.50
10397.87,-10.91
10426.01,-10.58
10454.20,-10.95
10482.42,-11.02
10510.67,-11.91
10538.97,-12.89
10567.30,-12.74
10595.68,-11.94
10624.09,-10.51
10652.53,-9.75
10681.02,-9.64
10709.54,-10.11
10738.11,-11.12
10766.71,-11.84
10795.35,-11.12
10824.02,-10.55
10852.74,-9.82
10881.49,-9.61
10910.28,-9.50
10939.11,-9.84
10967.98,-10.55
10996.89,-10.93
11025.83,-10.84
11054.81,-11.02
11083.83,-10.90
11112.89,-9.38
11141.98,-8.61
11171.12,-8.45
11200.29,-9.90
11229.50,-10.79
11258.75,-11.69
11288.04,-12.31
11317.36,-12.11
11346.72,-12.81
11376.13,-12.55
11405.56,-13.08
11435.04,-13.54
11464.56,-14.15
11494.11,-14.13
11523.70,-13.18
11553.33,-12.49
11583.00,-12.82
11612.70,-13.53
11642.45,-14.99
11672.23,-16.26
11702.05,-15.61
11731.91,-14.03
11761.81,-13.18
11791.74,-12.93
11821.71,-14.32
11851.72,-15.28
11881.77,-16.71
11911.86,-17.37
11941.98,-17.38
11972.15,-16.72
12002.35,-15.81
12032.59,-16.03
12062.87,-16.93
12093.18,-18.63
12123.53,-19.63
12153.93,-20.16
12184.36,-20.21
12214.82,-19.65
12245.33,-19.16
12275.87,-19.44
12306.46,-19.99
12337.08,-20.41
12367.74,-19.93
12398.43,-20.28
12429.17,-19.86
12459.94,-19.65
12490.75,-19.07
12521.60,-19.52
12552.49,-19.79
12583.41,-20.39
12614.38,-19.98
12645.38,-19.53
12676.42,-18.76
12707.50,-17.78
12738.61,-18.53
12769.76,-18.75
12800.96,-19.36
12832.19,-19.10
12863.46,-18.95
12894.76,-18.90
12926.11,-18.96
12957.49,-19.56
12988.91,-19.79
13020.37,-20.11
13051.87,-20.28
13083.40,-19.84
13114.97,-19.57
13146.59,-18.36
13178.23,-18.95
13209.92,-19.77
13241.65,-21.09
13273.41,-20.48
13305.21,-20.35
13337.05,-20.80
13368.93,-21.95
13400.85,-23.52
13432.80,-24.57
13464.79,-24.10
13496.82,-22.39
13528.89,-21.36
13561.00,-19.80
13593.14,-20.72
13625.33,-21.50
13657.55,-23.49
13689.81,-22.96
13722.10,-20.93
13754.44,-19.74
13786.81,-18.93
13819.22,-20.13
13851.67,-21.73
13884.16,-22.99
13916.69,-23.24
13949.25,-21.95
13981.85,-20.76
14014.49,-20.25
14047.17,-21.66
14079.89,-24.29
14112.64,-26.09
14145.44,-25.26
14178.27,-24.04
14211.14,-23.73
14244.04,-24.47
14276.99,-25.50
14309.97,-26.97
14342.99,-27.90
14376.05,-27.88
14409.15,-26.05
14442.29,-24.13
14475.46,-24.67
14508.67,-24.77
14541.92,-25.92
14575.21,-25.70
14608.53,-24.84
14641.90,-24.63
14675.30,-25.74
14708.74,-25.57
14742.22,-26.05
14775.74,-26.77
14809.29,-27.25
14842.89,-27.15
14876.52,-25.54
14910.19,-26.24
14943.89,-27.06
14977.64,-28.01
15011.42,-27.09
15045.24,-28.52
15079.10,-29.15
15113.00,-30.50
15146.94,-30.71
15180.91,-31.30
15214.92,-31.63
15248.97,-33.34
15283.06,-32.26
15317.19,-32.29
15351.35,-33.08
15385.55,-34.47
15419.80,-34.20
15454.07,-33.28
15488.39,-32.26
15522.75,-31.55
15557.14,-32.29
15591.57,-32.91
15626.04,-33.24
15660.55,-33.43
15695.09,-31.73
15729.68,-30.30
15764.30,-29.81
15798.96,-30.77
15833.66,-32.00
15868.39,-31.95
15903.17,-32.02
15937.98,-31.70
15972.83,-31.20
16007.72,-31.35
16042.65,-32.96
16077.61,-33.93
16112.61,-33.89
16147.66,-32.49
16182.73,-32.39
16217.85,-32.34
16253.01,-33.04
16288.20,-34.03
16323.43,-35.61
16358.70,-36.21
16394.01,-37.95
16429.36,-38.08
16464.74,-38.86
16500.16,-38.81
16535.62,-40.30
16571.12,-39.98
16606.66,-40.68
16642.23,-41.40
16677.84,-41.45
16713.49,-41.96
16749.18,-42.12
16784.91,-42.54
16820.68,-43.19
16856.48,-44.70
16892.32,-46.05
16928.20,-44.95
16964.12,-43.02
17000.07,-41.20
17036.07,-40.92
17072.10,-40.89
17108.17,-41.76
17144.28,-43.01
17180.42,-43.96
17216.61,-43.81
17252.83,-41.78
17289.09,-40.09
17325.39,-40.86
17361.73,-41.96
17398.10,-43.19
17434.51,-43.06
17470.96,-42.81
17507.45,-42.17
